question,answer
What are the college timings?,College timings are from 9 AM to 4 PM.
Is hostel facility available?,Yes hostel facility is available for students.
How can I apply for admission?,You can apply for admission through the college admission portal.
What courses are available?,The college offers various undergraduate and postgraduate courses.
When does the semester start?,The semester starts in June.
What is the admission process?,Students need to register online and submit the required documents.
Is there a library in the college?,Yes the college has a library with books and digital resources.
Is transportation available?,Yes college transportation is available on selected routes.
How can I contact the college?,You can contact the college office during working hours.
What are the library timings?,The library is open from 9 AM to 6 PM.
